"reactome_name"	"reactome_id"	"up_reactome_name"	"up_reactome_id"	"HMDB.ID"	"N_met"
"Histidine catabolism"	"R-HSA-70921"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0001534;HMDB0001967;HMDB0001014;HMDB0041827;HMDB0000898;HMDB0000301"	8
"Lysine catabolism"	"R-HSA-71064"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000225;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0000221;HMDB0001967;HMDB0059600;HMDB0000279;HMDB0000962;HMDB0304435;HMDB0245508"	14
"Tryptophan catabolism"	"R-HSA-71240"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0304356;HMDB0001476;HMDB0001967;HMDB0000684;HMDB0011631;HMDB0000978;HMDB0003178;HMDB0000715;HMDB0001200;HMDB0000692;HMDB0002302"	14
"Carnitine synthesis"	"R-HSA-71262"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001161;HMDB0001967;HMDB0001345;HMDB0000692"	7
"Creatine metabolism"	"R-HSA-71288"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0000128;HMDB0000562;HMDB0000588;HMDB0062762"	6
"Citric acid cycle (TCA cycle)"	"R-HSA-71403"	"Pyruvate metabolism and Citric Acid (TCA) cycle"	"R-HSA-71406"	"HMDB0002111;HMDB0059597;HMDB0000221;HMDB0001967;HMDB0000962;HMDB0304435;HMDB0000134;HMDB0000547;HMDB0001333;HMDB0000094"	10
"Pyrimidine salvage"	"R-HSA-73614"	"Nucleotide salvage"	"R-HSA-8956321"	"HMDB0002111;HMDB0000014;HMDB0000012;HMDB0000296;HMDB0000089;HMDB0000300;HMDB0000273;HMDB0000767;HMDB0000262;HMDB0010337;HMDB0001271;HMDB0000547;HMDB0041827;HMDB0015532"	14
"Pyrimidine catabolism"	"R-HSA-73621"	"Nucleotide catabolism"	"R-HSA-8956319"	"HMDB0002111;HMDB0059597;HMDB0000014;HMDB0000076;HMDB0000012;HMDB0001967;HMDB0000296;HMDB0000089;HMDB0000300;HMDB0000273;HMDB0000262;HMDB0010337;HMDB0000547;HMDB0304210;HMDB0041827;HMDB0015532;HMDB0304000"	17
"Purine ribonucleoside monophosphate biosynthesis"	"R-HSA-73817"	"Nucleotide biosynthesis"	"R-HSA-8956320"	"HMDB0002111;HMDB0059597;HMDB0001967;HMDB0000547;HMDB0000692"	5
"Purine salvage"	"R-HSA-74217"	"Nucleotide salvage"	"R-HSA-8956321"	"HMDB0002111;HMDB0059597;HMDB0000132;HMDB0000050;HMDB0000034;HMDB0000133;HMDB0000085;HMDB0000101;HMDB0000157;HMDB0000195;HMDB0000547;HMDB0041827;HMDB0000071;HMDB0015532"	14
"Purine catabolism"	"R-HSA-74259"	"Nucleotide catabolism"	"R-HSA-8956319"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000132;HMDB0003125;HMDB0000050;HMDB0000133;HMDB0000085;HMDB0000101;HMDB0000157;HMDB0000195;HMDB0000292;HMDB0000289;HMDB0000547;HMDB0041827;HMDB0000071;HMDB0015532"	17
"Fatty acyl-CoA biosynthesis"	"R-HSA-75105"	"Fatty acid metabolism"	"R-HSA-8978868"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001322;HMDB0000220;HMDB0000221;HMDB0001967;HMDB0304435;HMDB0000094;HMDB0000511;HMDB0000513"	11
"Synthesis of very long-chain fatty acyl-CoAs"	"R-HSA-75876"	"Fatty acyl-CoA biosynthesis"	"R-HSA-75105"	"HMDB0002111;HMDB0059597;HMDB0000220;HMDB0001967;HMDB0062633"	5
"Beta oxidation of myristoyl-CoA to lauroyl-CoA"	"R-HSA-77285"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"R-HSA-77286"	"HMDB0002111;HMDB0059597;HMDB0001521;HMDB0003934;HMDB0003946;HMDB0003935"	6
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA"	"R-HSA-77305"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"R-HSA-77286"	"HMDB0002111;HMDB0059597;HMDB0006402;HMDB0001521;HMDB0003932;HMDB0003945"	6
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA"	"R-HSA-77310"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"R-HSA-77286"	"HMDB0002111;HMDB0059597;HMDB0003936;HMDB0003937;HMDB0006404;HMDB0304325"	6
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA"	"R-HSA-77348"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"R-HSA-77286"	"HMDB0002111;HMDB0059597;HMDB0001070;HMDB0003949;HMDB0003950;HMDB0003941;HMDB0003940"	7
"Threonine catabolism"	"R-HSA-8849175"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0000051;HMDB0033934;HMDB0000005"	5
"Digestion"	"R-HSA-8935690"	"Digestion and absorption"	"R-HSA-8963743"	"HMDB0002111;HMDB0001377;HMDB0059651;HMDB0005794;HMDB0001361;HMDB0015532;HMDB0000464"	7
"Glutamate and glutamine metabolism"	"R-HSA-8964539"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0000221;HMDB0304435;HMDB0000812;HMDB0041827;HMDB0001552"	7
"Biosynthesis of E-series 18(S)-resolvins"	"R-HSA-9018896"	"Biosynthesis of EPA-derived SPMs"	"R-HSA-9018679"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001999;HMDB0015532"	5
"Iron uptake and transport"	"R-HSA-917937"	"Transport of small molecules"	"R-HSA-382551"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000152;HMDB0001361;HMDB0003178;HMDB0000692;HMDB0015531;HMDB0000657;HMDB0000094"	10
"Ion transport by P-type ATPases"	"R-HSA-936837"	"Ion channel transport"	"R-HSA-983712"	"HMDB0002111;HMDB0059597;HMDB0000547;HMDB0001333;HMDB0000657;HMDB0000588;HMDB0000586;HMDB0000464"	8
"Molybdenum cofactor biosynthesis"	"R-HSA-947581"	"Metabolism of water-soluble vitamins and cofactors"	"R-HSA-196849"	"HMDB0002111;HMDB0059597;HMDB0001983;HMDB0000547;HMDB0015532"	5
"RAS processing"	"R-HSA-9648002"	"RAF/MAP kinase cascade"	"R-HSA-5673001"	"HMDB0002111;HMDB0001314;HMDB0015532;HMDB0000464;HMDB0304871;HMDB0251465"	6
"Vitamins B6 activation to pyridoxal phosphate"	"R-HSA-964975"	"Metabolism of water-soluble vitamins and cofactors"	"R-HSA-196849"	"HMDB0002111;HMDB0001377;HMDB0003125;HMDB0001431;HMDB0000239;HMDB0001545;HMDB0000017;HMDB0001555;HMDB0001319;HMDB0041827;HMDB0015532"	11
"Purinergic signaling in leishmaniasis infection"	"R-HSA-9660826"	"Cell recruitment (pro-inflammatory response)"	"R-HSA-9664424"	"HMDB0002111;HMDB0059597;HMDB0000855;HMDB0000547;HMDB0015532;HMDB0000464;HMDB0035659"	7
"LTC4-CYSLTR mediated IL4 production"	"R-HSA-9664535"	"Anti-inflammatory response favouring Leishmania parasite infection"	"R-HSA-9662851"	"HMDB0002111;HMDB0002200;HMDB0001198;HMDB0003080;HMDB0015532"	5
"Maturation of replicase proteins"	"R-HSA-9694301"	"Translation of Replicase and Assembly of the Replication Transcription Complex"	"R-HSA-9694676"	"HMDB0002111;HMDB0059597;HMDB0031991;HMDB0041832;HMDB0015616;HMDB0014365"	6
"Replication of the SARS-CoV-2 genome"	"R-HSA-9694686"	"SARS-CoV-2 Genome Replication and Transcription"	"R-HSA-9694682"	"HMDB0002111;HMDB0001185;HMDB0000939;HMDB0000547;HMDB0060282;HMDB0001333"	6
"Transcription of SARS-CoV-2 sgRNAs"	"R-HSA-9694786"	"SARS-CoV-2 Genome Replication and Transcription"	"R-HSA-9694682"	"HMDB0002111;HMDB0059597;HMDB0001185;HMDB0000939;HMDB0000547;HMDB0001333"	6
"SARS-CoV-2 activates/modulates innate and adaptive immune responses"	"R-HSA-9705671"	"SARS-CoV-2-host interactions"	"R-HSA-9705683"	"HMDB0002111;HMDB0000547;HMDB0001333;HMDB0000586;HMDB0000464"	5
"Cytoprotection by HMOX1"	"R-HSA-9707564"	"Cellular response to chemical stress"	"R-HSA-9711123"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000220;HMDB0001039;HMDB0003125;HMDB0003378;HMDB0001361;HMDB0000673;HMDB0003178;HMDB0002168;HMDB0001388;HMDB0001999;HMDB0000692;HMDB0015532"	15
"Azathioprine ADME"	"R-HSA-9748787"	"Drug ADME"	"R-HSA-9748784"	"HMDB0002111;HMDB0059597;HMDB0000547;HMDB0060416;HMDB0060412;HMDB0000588"	6
"Ribavirin ADME"	"R-HSA-9755088"	"Drug ADME"	"R-HSA-9748784"	"HMDB0002111;HMDB0000195;HMDB0000547;HMDB0041827;HMDB0000588"	5
"Serine biosynthesis"	"R-HSA-977347"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0000272;HMDB0000051;HMDB0033934;HMDB0003406;HMDB0000547;HMDB0001024"	8
"Ciprofloxacin ADME"	"R-HSA-9793528"	"Drug ADME"	"R-HSA-9748784"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000492;HMDB0013970;HMDB0304464"	6
"Cross-presentation of particulate exogenous antigens (phagosomes)"	"R-HSA-1236973"	"Antigen processing-Cross presentation"	"R-HSA-1236975"	"HMDB0059597;HMDB0001377;HMDB0000221;HMDB0304435;HMDB0002168"	5
"Amino acid transport across the plasma membrane"	"R-HSA-352230"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	"R-HSA-425393"	"HMDB0059597;HMDB0001310;HMDB0000192;HMDB0003406;HMDB0000056;HMDB0000492;HMDB0000670;HMDB0029416;HMDB0000588;HMDB0062762;HMDB0006284"	11
"Class A/1 (Rhodopsin-like receptors)"	"R-HSA-373076"	"GPCR ligand binding"	"R-HSA-500792"	"HMDB0059597;HMDB0001488;HMDB0001389;HMDB0000715;HMDB0004080;HMDB0000626;HMDB0015532;HMDB0004666;HMDB0005096"	9
"Transport of inorganic cations/anions and amino acids/oligopeptides"	"R-HSA-425393"	"SLC-mediated transmembrane transport"	"R-HSA-425407"	"HMDB0059597;HMDB0001185;HMDB0000192;HMDB0000939;HMDB0006483;HMDB0000588;HMDB0000586"	7
"Metal ion SLC transporters"	"R-HSA-425410"	"Transport of bile salts and organic acids, metal ions and amine compounds"	"R-HSA-425366"	"HMDB0059597;HMDB0000547;HMDB0000692;HMDB0001333;HMDB0000657;HMDB0015532"	6
"Multifunctional anion exchangers"	"R-HSA-427601"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	"R-HSA-425393"	"HMDB0059597;HMDB0001488;HMDB0012238;HMDB0000492;HMDB0000588;HMDB0000190"	6
"VEGFA-VEGFR2 Pathway"	"R-HSA-4420097"	"Signaling by VEGF"	"R-HSA-194138"	"HMDB0059597;HMDB0001377;HMDB0001201;HMDB0003178;HMDB0000547;HMDB0002168"	6
"Miscellaneous transport and binding events"	"R-HSA-5223345"	"Transport of small molecules"	"R-HSA-382551"	"HMDB0059597;HMDB0000192;HMDB0012238;HMDB0000492;HMDB0000547;HMDB0062762"	6
"Defective CYP11B2 causes CMO-1 deficiency"	"R-HSA-5579009"	"Metabolic disorders of biological oxidation enzymes"	"R-HSA-5579029"	"HMDB0059597;HMDB0001377;HMDB0000221;HMDB0000319;HMDB0001547;HMDB0000016"	6
"Defective CYP17A1 causes AH5"	"R-HSA-5579028"	"Metabolic disorders of biological oxidation enzymes"	"R-HSA-5579029"	"HMDB0059597;HMDB0001377;HMDB0000253;HMDB0001830;HMDB0000374"	5
"Formation of xylulose-5-phosphate"	"R-HSA-5661270"	"Metabolism of carbohydrates"	"R-HSA-71387"	"HMDB0059597;HMDB0001967;HMDB0001644;HMDB0002917;HMDB0000751;HMDB0015532"	6
"RHO GTPases Activate NADPH Oxidases"	"R-HSA-5668599"	"RHO GTPase Effectors"	"R-HSA-195258"	"HMDB0059597;HMDB0001377;HMDB0003178;HMDB0002168;HMDB0000464"	5
"Metabolism of vitamin K"	"R-HSA-6806664"	"Metabolism of fat-soluble vitamins"	"R-HSA-6806667"	"HMDB0059597;HMDB0001892;HMDB0014411;HMDB0015081;HMDB0015487;HMDB0030017;HMDB0030020;HMDB0014641"	8
"Pyruvate metabolism"	"R-HSA-70268"	"Pyruvate metabolism and Citric Acid (TCA) cycle"	"R-HSA-71406"	"HMDB0059597;HMDB0001066;HMDB0001967;HMDB0001167;HMDB0060661;HMDB0000547;HMDB0015532;HMDB0000190"	8
"Wax biosynthesis"	"R-HSA-9640463"	"Wax and plasmalogen biosynthesis"	"R-HSA-8848584"	"HMDB0059597;HMDB0003424;HMDB0000305;HMDB0003648;HMDB0249838;HMDB0011619"	6
"Cobalamin (Cbl) metabolism"	"R-HSA-9759218"	"Cobalamin (Cbl, vitamin B12) transport and metabolism"	"R-HSA-196741"	"HMDB0059597;HMDB0006316;HMDB0000607;HMDB0060292;HMDB0002086;HMDB0002274;HMDB0015532"	7
"Collagen biosynthesis and modifying enzymes"	"R-HSA-1650814"	"Collagen formation"	"R-HSA-1474290"	"HMDB0001377;HMDB0001967;HMDB0000295;HMDB0000692;HMDB0000044"	5
"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	"R-HSA-5625886"	"RHO GTPases activate PKNs"	"R-HSA-5625740"	"HMDB0001377;HMDB0002961;HMDB0000053;HMDB0001967;HMDB0001426;HMDB0000234"	6
"Transport of organic anions"	"R-HSA-879518"	"Transport of vitamins, nucleosides, and related molecules"	"R-HSA-425397"	"HMDB0001442;HMDB0001220;HMDB0001139;HMDB0001403;HMDB0000949;HMDB0000951;HMDB0001425;HMDB0000248;HMDB0060074;HMDB0001917"	10
"Prostanoid ligand receptors"	"R-HSA-391908"	"Eicosanoid ligand-binding receptors"	"R-HSA-391903"	"HMDB0001220;HMDB0001335;HMDB0001139;HMDB0001403;HMDB0001452;HMDB0015041;HMDB0015704"	7
"PPARA activates gene expression"	"R-HSA-1989781"	"Regulation of lipid metabolism by PPARalpha"	"R-HSA-400206"	"HMDB0000220;HMDB0000673;HMDB0001388;HMDB0258755;HMDB0001999;HMDB0000626;HMDB0015532;HMDB0004667;HMDB0004670;HMDB0005031;HMDB0015264"	11
"Transcriptional activation of mitochondrial biogenesis"	"R-HSA-2151201"	"Mitochondrial biogenesis"	"R-HSA-1592230"	"HMDB0000220;HMDB0001406;HMDB0000673;HMDB0001388;HMDB0001999;HMDB0015532;HMDB0000464"	7
"Activation of gene expression by SREBF (SREBP)"	"R-HSA-2426168"	"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	"R-HSA-1655829"	"HMDB0000220;HMDB0000673;HMDB0001388;HMDB0001999;HMDB0015532"	5
"Transcriptional regulation of white adipocyte differentiation"	"R-HSA-381340"	"Developmental Biology"	"R-HSA-1266738"	"HMDB0000220;HMDB0000673;HMDB0001388;HMDB0001999;HMDB0004667;HMDB0004670;HMDB0005031;HMDB0015264"	8
"Circadian Clock"	"R-HSA-400253"	"NA"	"NA"	"HMDB0000220;HMDB0001547;HMDB0000016;HMDB0000673;HMDB0000063;HMDB0001388;HMDB0000037;HMDB0001999"	8
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"	"R-HSA-400511"	"Incretin synthesis, secretion, and inactivation"	"R-HSA-400508"	"HMDB0000220;HMDB0000207;HMDB0000464;HMDB0000638;HMDB0000826;HMDB0005031;HMDB0002088"	7
"Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)"	"R-HSA-5619108"	"SLC transporter disorders"	"R-HSA-5619102"	"HMDB0000220;HMDB0000207;HMDB0000673;HMDB0002212;HMDB0002003;HMDB0000806;HMDB0000638;HMDB0000511;HMDB0000513;HMDB0303351"	10
"Transport of fatty acids"	"R-HSA-804914"	"Transport of vitamins, nucleosides, and related molecules"	"R-HSA-425397"	"HMDB0000220;HMDB0000207;HMDB0000673;HMDB0002212;HMDB0002003;HMDB0000806;HMDB0000638;HMDB0000511;HMDB0000513;HMDB0303351"	10
"Heme signaling"	"R-HSA-9707616"	"Cellular responses to stress"	"R-HSA-2262752"	"HMDB0000220;HMDB0000067;HMDB0001039;HMDB0003125;HMDB0001361;HMDB0000673;HMDB0003178;HMDB0001388;HMDB0001999"	9
"Cleavage of the damaged pyrimidine"	"R-HSA-110329"	"Depyrimidination"	"R-HSA-73928"	"HMDB0000076;HMDB0000300;HMDB0000262;HMDB0010337;HMDB0004816;HMDB0303045;HMDB0042037"	7
"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"	"R-HSA-83936"	"Transport of vitamins, nucleosides, and related molecules"	"R-HSA-425397"	"HMDB0000630;HMDB0000132;HMDB0000050;HMDB0000296;HMDB0000034;HMDB0000133;HMDB0000101;HMDB0000157;HMDB0000089;HMDB0000300;HMDB0000195;HMDB0000273;HMDB0000262;HMDB0010337;HMDB0000588"	15
"Scavenging by Class A Receptors"	"R-HSA-3000480"	"Binding and Uptake of Ligands by Scavenger Receptors"	"R-HSA-2173782"	"HMDB0000067;HMDB0013470;HMDB0000175;HMDB0001397;HMDB0062641;HMDB0015531;HMDB0240347"	7
"Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)"	"R-HSA-5619063"	"SLC transporter disorders"	"R-HSA-5619102"	"HMDB0000050;HMDB0000296;HMDB0000034;HMDB0000133;HMDB0000089;HMDB0000195;HMDB0000273"	7
"Reversal of alkylation damage by DNA dioxygenases"	"R-HSA-73943"	"DNA Damage Reversal"	"R-HSA-73942"	"HMDB0000050;HMDB0001967;HMDB0001426;HMDB0004044;HMDB0000692"	5
"Acetylation"	"R-HSA-156582"	"Phase II - Conjugation of compounds"	"R-HSA-156580"	"HMDB0062723;HMDB0001860;HMDB0014378;HMDB0001392;HMDB0014404;HMDB0015086;HMDB0014772;HMDB0041821"	8
"Cleavage of the damaged purine"	"R-HSA-110331"	"Depurination"	"R-HSA-73927"	"HMDB0000034;HMDB0000157;HMDB0244259;HMDB0011600;HMDB0041820"	5
"SUMOylation of intracellular receptors"	"R-HSA-4090294"	"SUMO E3 ligases SUMOylate target proteins"	"R-HSA-3108232"	"HMDB0001547;HMDB0000016;HMDB0000063;HMDB0000037;HMDB0001419"	5
"Regulation of NPAS4 gene transcription"	"R-HSA-9768777"	"Regulation of NPAS4 gene expression"	"R-HSA-9768759"	"HMDB0001547;HMDB0000016;HMDB0000063;HMDB0000547;HMDB0000037;HMDB0000464"	6
"Na+/Cl- dependent neurotransmitter transporters"	"R-HSA-442660"	"Transport of bile salts and organic acids, metal ions and amine compounds"	"R-HSA-425366"	"HMDB0000056;HMDB0000492;HMDB0000588;HMDB0062762;HMDB0006284"	5
"Metal sequestration by antimicrobial proteins"	"R-HSA-6799990"	"Antimicrobial peptides"	"R-HSA-6803157"	"HMDB0000152;HMDB0015531;HMDB0001333;HMDB0000588;HMDB0015532;HMDB0000464"	6
"ADP signalling through P2Y purinoceptor 12"	"R-HSA-392170"	"Signal amplification"	"R-HSA-392518"	"HMDB0001201;HMDB0005011;HMDB0015702;HMDB0240386;HMDB0014353"	5
"Synthesis, secretion, and deacylation of Ghrelin"	"R-HSA-422085"	"Peptide hormone metabolism"	"R-HSA-2980736"	"HMDB0003345;HMDB0000482;HMDB0000464;HMDB0000511;HMDB0000513"	5
"Regulation of insulin secretion"	"R-HSA-422356"	"Integration of energy metabolism"	"R-HSA-163685"	"HMDB0003345;HMDB0000547;HMDB0015256;HMDB0015532;HMDB0000464;HMDB0015252;HMDB0014810;HMDB0014367;HMDB0015200;HMDB0015151;HMDB0014977"	11
"Signaling by high-kinase activity BRAF mutants"	"R-HSA-6802948"	"Oncogenic MAPK signaling"	"R-HSA-6802957"	"HMDB0000547;HMDB0001333;HMDB0000464;HMDB0014542;HMDB0259779;HMDB0257137;HMDB0256648"	7
"SARS-CoV-1 activates/modulates innate immune responses"	"R-HSA-9692916"	"SARS-CoV-1-host interactions"	"R-HSA-9692914"	"HMDB0060282;HMDB0000586;HMDB0000464;HMDB0014862;HMDB0257161"	5
"P2Y receptors"	"R-HSA-417957"	"Nucleotide-like (purinergic) receptors"	"R-HSA-418038"	"HMDB0005011;HMDB0242470;HMDB0015702;HMDB0240386;HMDB0014353"	5
"PDGFR mutants bind TKIs"	"R-HSA-9674428"	"Signaling by PDGFR in disease"	"R-HSA-9671555"	"HMDB0014542;HMDB0254344;HMDB0257137;HMDB0256144;HMDB0254011"	5
"Activated point mutants of FGFR2"	"R-HSA-2033519"	"FGFR2 mutant receptor activation"	"R-HSA-1839126"	"HMDB0245622;HMDB0258526;HMDB0247543;HMDB0256144;HMDB0254011"	5
"Signaling by FGFR3 in disease"	"R-HSA-5655332"	"Signaling by FGFR in disease"	"R-HSA-1226099"	"HMDB0245622;HMDB0258526;HMDB0254344;HMDB0247543;HMDB0254011"	5
"Constitutive Signaling by Aberrant PI3K in Cancer"	"R-HSA-2219530"	"PI3K/AKT Signaling in Cancer"	"R-HSA-2219528"	"HMDB0252659;HMDB0244699;HMDB0247649;HMDB0247677;HMDB0259934"	5
"Retinoid metabolism and transport"	"R-HSA-975634"	"Visual phototransduction;Metabolism of fat-soluble vitamins"	"R-HSA-2187338;R-HSA-6806667"	"HMDB0001852;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000220;HMDB0000067;HMDB0000207;HMDB0000305;HMDB0000673;HMDB0000561;HMDB0003648;HMDB0001358;HMDB0000692;HMDB0036565;HMDB0002369;HMDB0011618;HMDB0059605;HMDB0303351"	18
